Time[fs] MSD(O) MSD(Si) VAC(O) VAC(Si) Samples(O) Samples(Si) VAC_trunc(O) VAC_trunc(Si) Jt 
23.5 20.0562 18.2579 -0.0082061 0.044847 3072 1536 -0.00765333 0.0418261 0.0558588
23.75 20.0566 18.2581 -0.00569999 0.0429456 3072 1536 -0.00530792 0.0399916 0.0521094
24 20.0571 18.2584 -0.0032291 0.0408873 3072 1536 -0.00300234 0.038016 0.0498011
24.25 20.3472 18.0684 -0.00743725 0.0317517 3072 1536 -0.00690417 0.0294758 0.205785
24.5 20.3473 18.0685 -0.0056222 0.0289095 3072 1536 -0.00521097 0.026795 0.180665
24.75 20.3475 18.0686 -0.0038683 0.0259165 3072 1536 -0.00357963 0.0239824 0.156152
25 20.3477 18.0686 -0.0022001 0.0227978 3072 1536 -0.00203263 0.0210624 0.132224
25.25 20.3479 18.0686 -0.000640487 0.0195813 3072 1536 -0.000590766 0.0180612 0.108854
25.5 20.3481 18.0686 0.000789577 0.0162958 3072 1536 0.000727079 0.0150059 0.0859982
25.75 20.3483 18.0686 0.00207179 0.0129714 3072 1536 0.00190462 0.0119247 0.063612
26 20.3485 18.0686 0.00319078 0.00963792 3072 1536 0.00292836 0.00884524 0.0416402
26.25 20.3487 18.0685 0.00413432 0.00632448 3072 1536 0.00378781 0.00579441 0.0200345
26.5 20.349 18.0684 0.00489358 0.00305937 3072 1536 0.0044757 0.00279812 -0.00124829
26.75 20.3492 18.0683 0.00546301 -0.000131029 3072 1536 0.00498779 -0.000119631 -0.0222415
27 20.3494 18.0682 0.00584059 -0.00322237 3072 1536 0.00532313 -0.00293688 -0.042962
27.25 20.3496 18.068 0.00602737 -0.00619301 3072 1536 0.00548358 -0.00563427 -0.0634102
27.5 20.3498 18.0679 0.00602737 -0.00902352 3072 1536 0.00547372 -0.00819465 -0.0835591
27.75 20.35 18.0677 0.00584729 -0.0116972 3072 1536 0.00530053 -0.0106034 -0.103351
28 20.3502 18.0675 0.00549591 -0.0142 3072 1536 0.00497285 -0.0128485 -0.12269
28.25 20.2019 17.7441 0.00332039 -0.0312528 3072 1536 0.0029988 -0.0282259 -0.0973685
28.5 20.202 17.7438 0.00299093 -0.0334933 3072 1536 0.00269619 -0.0301927 -0.121238
28.75 21.1631 18.7984 0.00904197 -0.0253566 3072 1536 0.00813549 -0.0228146 0.304189
29 21.2421 18.9135 0.015518 -0.000533952 3072 1536 0.0139356 -0.000479504 0.197557
29.25 21.2421 18.9133 0.0149309 -0.00259947 3072 1536 0.0133825 -0.00232989 0.187992
29.5 21.2422 18.9132 0.0141143 -0.0046524 3072 1536 0.0126259 -0.00416178 0.177716
29.75 21.2423 18.913 0.0130814 -0.00668585 3072 1536 0.0116788 -0.00596901 0.166967
30 21.2425 18.9129 0.0118471 -0.00869144 3072 1536 0.0105558 -0.00774413 0.155986
30.25 21.2426 18.9127 0.0104287 -0.0106592 3072 1536 0.00927336 -0.00947831 0.145004
30.5 21.2428 18.9126 0.00884538 -0.0125773 3072 1536 0.00784951 -0.0111613 0.134236
30.75 21.243 18.9124 0.00711813 -0.0144322 3072 1536 0.00630379 -0.0127811 0.123868
31 21.2433 18.9123 0.00526983 -0.0162083 3072 1536 0.0046573 -0.0143243 0.114054
31.25 21.2435 18.9122 0.00332485 -0.0178888 3072 1536 0.00293226 -0.0157765 0.10491
31.5 21.2438 18.9121 0.00130904 -0.0194563 3072 1536 0.00115204 -0.0171228 0.0965085
31.75 21.2441 18.912 -0.000750731 -0.0208935 3072 1536 -0.000659286 -0.0183485 0.0888848
32 21.2444 18.912 -0.00282702 -0.022184 3072 1536 -0.00247734 -0.01944 0.0820351
32.25 21.2448 18.9119 -0.00489217 -0.0233128 3072 1536 -0.00427775 -0.0203849 0.0759203
32.5 21.2451 18.9119 -0.00691876 -0.0242668 3072 1536 -0.00603659 -0.0211727 0.0704722
32.75 21.2455 18.9119 -0.00888015 -0.0250355 3072 1536 -0.0077308 -0.0217952 0.0655967
33 21.2458 18.9119 -0.0107507 -0.0256109 3072 1536 -0.0093384 -0.0222464 0.0611827
33.25 21.2421 19.0526 -0.01977 -0.0254879 3072 1536 -0.0171343 -0.0220898 0.178295
33.5 23.1072 20.4464 -0.0220606 -0.0384371 3072 1536 -0.0190761 -0.0332371 0.158987
33.75 23.1069 20.4464 -0.0224316 -0.039313 3072 1536 -0.0193525 -0.0339167 0.159172
34 23.1066 20.4464 -0.0226267 -0.0399748 3072 1536 -0.0194757 -0.034408 0.159241
34.25 23.1063 20.4464 -0.0226408 -0.0404115 3072 1536 -0.0194425 -0.0347028 0.159021
34.5 23.106 20.4464 -0.0224706 -0.0406142 3072 1536 -0.019251 -0.0347949 0.158343
34.75 23.1058 20.4464 -0.0221148 -0.0405764 3072 1536 -0.0189012 -0.03468 0.157042
35 23.1055 20.4465 -0.0215739 -0.0402941 3072 1536 -0.0183948 -0.0343564 0.154951
35.25 23.1053 20.4466 -0.0208501 -0.0397664 3072 1536 -0.0177347 -0.0338246 0.15192
35.5 23.105 20.4467 -0.0199477 -0.0389952 3072 1536 -0.0169258 -0.0330878 0.147815
35.75 23.1048 20.4468 -0.0188727 -0.0379854 3072 1536 -0.0159743 -0.0321518 0.142531
36 23.1045 20.4469 -0.017633 -0.0367454 3072 1536 -0.0148881 -0.0310252 0.136002
36.25 23.1043 20.4471 -0.0162387 -0.0352864 3072 1536 -0.0136765 -0.0297188 0.128203
36.5 23.1041 20.4472 -0.0147017 -0.0336224 3072 1536 -0.0123508 -0.0282459 0.119157
36.75 23.1039 20.4474 -0.0130359 -0.0317697 3072 1536 -0.0109235 -0.0266216 0.108929
37 23.1037 20.4476 -0.0112571 -0.0297469 3072 1536 -0.00940881 -0.0248627 0.0976253
37.25 23.1035 20.4477 -0.00938333 -0.0275742 3072 1536 -0.00782236 -0.0229871 0.0853812
