Time[fs] MSD(Mn) MSD(O) MSD(Y) VAC(Mn) VAC(O) VAC(Y) Samples(Mn) Samples(O) Samples(Y) VAC_trunc(Mn) VAC_trunc(O) VAC_trunc(Y) Jt 
132 0.00281976 0.00312729 0.00329725 -0.054177 -0.0459949 -0.128533 7704 7704 23112 -0.0539749 -0.0458233 -0.128054 -0.123862
133.5 0.00281763 0.00312098 0.0033004 -0.0476119 -0.043866 -0.121395 7704 7704 23112 -0.0474303 -0.0436987 -0.120932 -0.116851
135 0.00281528 0.00311466 0.0033002 -0.0417334 -0.0392577 -0.111105 7704 7704 23112 -0.0415706 -0.0391045 -0.110672 -0.0996486
136.5 0.00281269 0.00310754 0.0032974 -0.0354005 -0.0353113 -0.0990607 7704 7704 23112 -0.0352593 -0.0351705 -0.0986656 -0.085253
138 0.00280993 0.00310018 0.00329276 -0.0298017 -0.0293912 -0.0857185 7704 7704 23112 -0.0296803 -0.0292714 -0.0853691 -0.0770246
139.5 0.00280716 0.00309272 0.00328591 -0.0247983 -0.0242537 -0.0723596 7704 7704 23112 -0.024695 -0.0241527 -0.0720582 -0.0624782
141 0.00280431 0.00308515 0.00327693 -0.0193421 -0.0205957 -0.058807 7704 7704 23112 -0.0192598 -0.0205081 -0.0585568 -0.0443474
142.5 0.00280132 0.00307744 0.00326656 -0.0131101 -0.0136776 -0.0437402 7704 7704 23112 -0.0130531 -0.0136181 -0.0435501 -0.0212108
144 0.00279829 0.00306927 0.00325497 -0.00727611 -0.00800589 -0.0277118 7704 7704 23112 -0.00724382 -0.00797036 -0.0275889 0.00115369
145.5 0.00279492 0.00306147 0.00324295 -0.00375427 -0.0038336 -0.0118876 7704 7704 23112 -0.00373726 -0.00381623 -0.0118338 0.0211717
147 0.00279164 0.00305354 0.00323108 0.00040519 0.00108644 0.00244525 7704 7704 23112 0.000403316 0.00108141 0.00243395 0.0420513
148.5 0.00278855 0.00304542 0.00321921 0.00440234 0.00643134 0.0172162 7704 7704 23112 0.00438156 0.00640099 0.017135 0.0693242
150 0.00278537 0.00303768 0.00320757 0.0059565 0.0147197 0.0315287 7704 7704 23112 0.00592782 0.0146488 0.0313769 0.0969356
151.5 0.00278213 0.00302959 0.00319685 0.00888354 0.020538 0.0435389 7704 7704 23112 0.00883991 0.0204371 0.043325 0.113473
153 0.00277893 0.00302152 0.0031877 0.0111767 0.0242618 0.0543029 7704 7704 23112 0.0111207 0.0241403 0.0540308 0.126609
154.5 0.00277587 0.0030138 0.00317974 0.0129613 0.0280978 0.0640673 7704 7704 23112 0.0128951 0.0279542 0.06374 0.137372
156 0.00277285 0.00300622 0.00317291 0.014738 0.0307663 0.0721934 7704 7704 23112 0.0146612 0.030606 0.0718175 0.14666
157.5 0.00276985 0.00299883 0.00316773 0.0168436 0.0347907 0.0774594 7704 7704 23112 0.0167542 0.034606 0.0770482 0.149744
