Time[fs] MSD(Mn) MSD(O) MSD(Y) VAC(Mn) VAC(O) VAC(Y) Samples(Mn) Samples(O) Samples(Y) VAC_trunc(Mn) VAC_trunc(O) VAC_trunc(Y) Jt 
1234.5 0.00770483 0.00813512 0.00836093 -0.00172755 0.00255225 -0.00095037 7704 7704 23112 -0.00119367 0.0017635 -0.000656669 -0.0377611
1236 0.00771084 0.00813758 0.00836527 -0.000747943 0.00335752 -0.000400825 7704 7704 23112 -0.000516269 0.00231753 -0.00027667 -0.0303875
1237.5 0.00771657 0.00814013 0.00837016 -0.00286501 0.00641808 2.3945e-05 7704 7704 23112 -0.00197554 0.00442552 1.6511e-05 -0.0295101
1239 0.00772181 0.00814265 0.00837386 -0.00386986 0.00879156 -0.000765762 7704 7704 23112 -0.00266567 0.00605588 -0.000527479 -0.0320901
1240.5 0.00772677 0.00814503 0.00837715 -0.00481328 0.00872496 -0.000894481 7704 7704 23112 -0.0033121 0.0060038 -0.000615507 -0.0309155
1242 0.00773154 0.00814707 0.00838005 -0.00436233 0.010168 -0.000322746 7704 7704 23112 -0.00299869 0.0069895 -0.000221857 -0.0268059
1243.5 0.00773645 0.00814959 0.00838329 -0.00468372 0.013862 0.000321818 7704 7704 23112 -0.00321627 0.00951889 0.00022099 -0.0225593
1245 0.00774177 0.00815198 0.00838697 -0.00634281 0.0146716 0.000579527 7704 7704 23112 -0.00435102 0.0100644 0.000397542 -0.0209769
1246.5 0.00774766 0.00815427 0.00839153 -0.00704882 0.0156083 0.000707434 7704 7704 23112 -0.00483029 0.0106958 0.000484778 -0.0224789
1248 0.0077533 0.00815741 0.00839617 -0.0081188 0.017418 0.00222493 7704 7704 23112 -0.0055577 0.0119234 0.00152307 -0.0181674
1249.5 0.00775938 0.00816089 0.00839977 -0.00602818 0.0169 0.00269631 7704 7704 23112 -0.00412225 0.0115567 0.00184382 -0.01074
1251 0.00776534 0.00816386 0.00840387 -0.00427438 0.0171948 0.00259002 7704 7704 23112 -0.00291989 0.011746 0.00176928 -0.0094149
1252.5 0.007771 0.00816707 0.00840868 -0.00569248 0.0193877 0.00352097 7704 7704 23112 -0.00388453 0.0132301 0.0024027 -0.00514959
1254 0.00777604 0.00817047 0.00841259 -0.00707224 0.0212758 0.00394822 7704 7704 23112 -0.004821 0.0145033 0.00269142 0.00338585
1255.5 0.00778074 0.00817378 0.00841586 -0.00896916 0.0197601 0.00501431 7704 7704 23112 -0.00610764 0.0134559 0.00341455 0.00934812
1257 0.00778515 0.00817665 0.0084192 -0.00929127 0.0188496 0.0063523 7704 7704 23112 -0.0063203 0.0128223 0.0043211 0.0135352
1258.5 0.00778975 0.00818019 0.00842282 -0.0103462 0.020668 0.00554116 7704 7704 23112 -0.00703048 0.0140444 0.00376534 0.0129097
1260 0.00779467 0.00818366 0.008427 -0.0123467 0.0207696 0.00515875 7704 7704 23112 -0.00838093 0.0140984 0.00350177 0.0106513
1261.5 0.00780012 0.00818696 0.00843207 -0.0131847 0.0209162 0.00622207 7704 7704 23112 -0.00894026 0.0141829 0.00421906 0.0162354
1263 0.00780526 0.00819127 0.00843763 -0.0135832 0.0226639 0.00880529 7704 7704 23112 -0.00920071 0.0153516 0.00596433 0.0278874
1264.5 0.00781089 0.00819594 0.00844273 -0.0114144 0.0247968 0.0108696 7704 7704 23112 -0.00772336 0.0167784 0.00735473 0.032003
1266 0.00781652 0.00820022 0.00844826 -0.0100929 0.0261471 0.0114782 7704 7704 23112 -0.00682193 0.0176731 0.00775827 0.0253232
1267.5 0.00782179 0.00820482 0.00845464 -0.0107478 0.0279102 0.0127753 7704 7704 23112 -0.00725676 0.0188446 0.00862575 0.0260086
1269 0.00782637 0.00820985 0.00846059 -0.00953725 0.0290003 0.013793 7704 7704 23112 -0.00643253 0.0195596 0.00930284 0.0292994
1270.5 0.00783062 0.00821479 0.00846606 -0.00939368 0.026806 0.0146068 7704 7704 23112 -0.00632888 0.0180602 0.00984113 0.0273205
1272 0.00783455 0.00821913 0.00847208 -0.00950173 0.0256728 0.014997 7704 7704 23112 -0.00639478 0.0172781 0.0100932 0.0206436
1273.5 0.00783872 0.00822419 0.00847842 -0.00950821 0.027349 0.0130425 7704 7704 23112 -0.00639223 0.0183864 0.00876832 0.01394
1275 0.00784312 0.00822929 0.008485 -0.0104529 0.0276391 0.0118472 7704 7704 23112 -0.00701977 0.0185613 0.00795608 0.00908136
1276.5 0.00784808 0.00823416 0.00849267 -0.0111123 0.0266674 0.0118001 7704 7704 23112 -0.00745449 0.0178893 0.00791586 0.00944296
1278 0.00785269 0.00824008 0.00850098 -0.0103224 0.0274178 0.0119672 7704 7704 23112 -0.0069171 0.0183727 0.00801927 0.012269
1279.5 0.00785783 0.00824642 0.00850938 -0.00834892 0.0294218 0.0125515 7704 7704 23112 -0.00558855 0.0196942 0.00840165 0.0153345
1281 0.00786309 0.00825255 0.00851846 -0.00819927 0.0294197 0.0124357 7704 7704 23112 -0.00548239 0.0196713 0.00831506 0.0187694
1282.5 0.007868 0.00825896 0.00852851 -0.0070327 0.0285534 0.0118783 7704 7704 23112 -0.00469724 0.0190712 0.00793365 0.0196904
1284 0.00787221 0.00826589 0.00853824 -0.00426903 0.0274704 0.0105026 7704 7704 23112 -0.00284823 0.0183278 0.00700713 0.0200217
1285.5 0.00787615 0.00827253 0.00854738 -0.00346486 0.0251116 0.00883214 7704 7704 23112 -0.00230916 0.0167357 0.00588619 0.020901
1287 0.00787972 0.00827842 0.00855705 -0.00369372 0.023599 0.00722108 7704 7704 23112 -0.00245898 0.0157103 0.00480721 0.0194811
1288.5 0.00788359 0.008285 0.00856665 -0.00265598 0.0234282 0.00441779 7704 7704 23112 -0.00176619 0.0155794 0.00293777 0.020326
1290 0.00788765 0.00829168 0.00857571 -0.0012523 0.0230958 0.00115705 7704 7704 23112 -0.000831841 0.0153415 0.000768575 0.0228613
1291.5 0.00789228 0.00829797 0.0085854 -0.00122673 0.021833 -0.00142121 7704 7704 23112 -0.00081396 0.0144866 -0.000942998 0.0227978
1293 0.00789653 0.0083053 0.00859522 -0.000386644 0.0216284 -0.0041777 7704 7704 23112 -0.000256261 0.014335 -0.00276891 0.0201892
1294.5 0.0079014 0.00831307 0.00860479 0.000976088 0.0221021 -0.00756793 7704 7704 23112 0.000646217 0.0146327 -0.00501033 0.0186698
1296 0.00790643 0.00832071 0.00861447 0.00170895 0.020401 -0.010811 7704 7704 23112 0.00113015 0.0134914 -0.00714947 0.0208767
1297.5 0.0079111 0.00832843 0.0086247 0.0057071 0.0178862 -0.0135328 7704 7704 23112 0.00376997 0.0118151 -0.00893942 0.0209134
1299 0.00791522 0.00833662 0.00863408 0.0103404 0.0163267 -0.0154519 7704 7704 23112 0.00682297 0.010773 -0.0101958 0.0244256
1300.5 0.00791922 0.00834438 0.00864241 0.0126056 0.0141153 -0.017079 7704 7704 23112 0.00830835 0.00930337 -0.0112568 0.0243062
1302 0.00792293 0.00835127 0.00865072 0.0132532 0.0115468 -0.0188415 7704 7704 23112 0.00872542 0.00760193 -0.0124045 0.0200763
1303.5 0.00792696 0.00835865 0.00865847 0.0148568 0.00975922 -0.0193625 7704 7704 23112 0.00977013 0.00641788 -0.0127332 0.0203701
1305 0.00793131 0.00836613 0.0086652 0.0174589 0.00950149 -0.0193893 7704 7704 23112 0.0114684 0.00624136 -0.0127365 0.023073
1306.5 0.00793628 0.00837322 0.00867211 0.0183083 0.00817782 -0.0194511 7704 7704 23112 0.0120128 0.00536581 -0.0127627 0.0258123
1308 0.00794087 0.00838124 0.00867879 0.0190358 0.0073543 -0.020038 7704 7704 23112 0.0124761 0.00482001 -0.0131329 0.0231047
1309.5 0.00794612 0.00838967 0.00868459 0.0195385 0.00834077 -0.0204971 7704 7704 23112 0.0127911 0.00546036 -0.0134186 0.0166386
1311 0.00795152 0.00839813 0.00868997 0.0198589 0.00815387 -0.0204466 7704 7704 23112 0.012986 0.00533195 -0.0133704 0.0128531
1312.5 0.00795665 0.0084065 0.00869553 0.0237301 0.00601386 -0.0206295 7704 7704 23112 0.0154999 0.00392809 -0.0134747 0.00603652
1314 0.0079614 0.00841531 0.00869994 0.027717 0.00433006 -0.0191663 7704 7704 23112 0.0180834 0.00282506 -0.0125046 0.00111823
1315.5 0.00796615 0.00842357 0.00870335 0.0304392 0.00398354 -0.0171992 7704 7704 23112 0.0198368 0.00259601 -0.0112084 -0.00807219
1317 0.00797072 0.00843088 0.00870667 0.0311333 0.00351109 -0.0152232 7704 7704 23112 0.0202659 0.00228551 -0.00990939 -0.0204937
1318.5 0.00797561 0.00843853 0.00870962 0.0309906 0.00237935 -0.0108085 7704 7704 23112 0.0201499 0.00154704 -0.0070276 -0.0248272
1320 0.00798091 0.00844624 0.00871231 0.0318531 0.00195966 -0.00656749 7704 7704 23112 0.020687 0.0012727 -0.00426524 -0.022276
1321.5 0.00798691 0.00845357 0.00871561 0.0322894 0.00165009 -0.00371792 7704 7704 23112 0.0209462 0.00107042 -0.00241182 -0.0221303
1323 0.00799257 0.00846177 0.00871912 0.0326592 0.00151907 -0.00127341 7704 7704 23112 0.0211616 0.000984285 -0.000825114 -0.0229737
1324.5 0.00799897 0.00847039 0.00872195 0.0314798 0.0024638 0.000762488 7704 7704 23112 0.0203739 0.00159458 0.000493487 -0.0271774
1326 0.00800548 0.00847917 0.00872477 0.0311082 0.00320567 0.00287079 7704 7704 23112 0.0201101 0.00207233 0.00185584 -0.0346099
1327.5 0.00801184 0.00848784 0.00872801 0.0323115 0.00258814 0.00485321 7704 7704 23112 0.0208638 0.00167118 0.00313375 -0.0390072
1329 0.00801797 0.00849686 0.00873062 0.0335616 0.00313288 0.0077421 7704 7704 23112 0.0216458 0.00202058 0.00499332 -0.0427987
1330.5 0.00802419 0.00850536 0.00873304 0.035972 0.00492415 0.00979342 7704 7704 23112 0.0231734 0.00317217 0.00630899 -0.0437384
1332 0.00803041 0.00851287 0.00873579 0.0358509 0.00462396 0.0105047 7704 7704 23112 0.0230685 0.00297532 0.0067593 -0.0509671
1333.5 0.00803686 0.00852075 0.00873881 0.034607 0.00368848 0.0124541 7704 7704 23112 0.0222421 0.0023706 0.00800431 -0.0562494
1335 0.00804374 0.00852862 0.00874261 0.0346443 0.00333227 0.0140423 7704 7704 23112 0.02224 0.00213915 0.0090145 -0.0595026
1336.5 0.0080513 0.0085362 0.00874757 0.0349865 0.00446161 0.0147459 7704 7704 23112 0.0224333 0.00286078 0.00945506 -0.06658
1338 0.00805859 0.00854472 0.00875321 0.0350152 0.00529515 0.015464 7704 7704 23112 0.0224253 0.00339125 0.00990383 -0.0643246
1339.5 0.00806662 0.00855369 0.00875855 0.032947 0.00534648 0.0154799 7704 7704 23112 0.0210759 0.0034201 0.00990235 -0.0578225
1341 0.0080747 0.00856283 0.00876423 0.0316504 0.0050045 0.0160288 7704 7704 23112 0.0202226 0.00319755 0.0102413 -0.0513527
1342.5 0.00808263 0.0085719 0.00877074 0.0300906 0.0032577 0.0167403 7704 7704 23112 0.0192032 0.002079 0.0106833 -0.0410657
1344 0.00809034 0.00858122 0.00877695 0.0284767 0.00290341 0.0163021 7704 7704 23112 0.0181517 0.0018507 0.0103913 -0.0310709
1345.5 0.00809816 0.00859017 0.00878329 0.0291493 0.00480442 0.0151716 7704 7704 23112 0.0185584 0.00305882 0.00965926 -0.0193521
1347 0.00810606 0.00859819 0.00878987 0.0281422 0.00416116 0.0137534 7704 7704 23112 0.0178959 0.00264613 0.0087459 -0.0113058
1348.5 0.00811411 0.00860646 0.00879663 0.0259237 0.00170415 0.0113714 7704 7704 23112 0.0164655 0.00108239 0.00722258 -0.00970439
1350 0.00812258 0.00861466 0.00880403 0.0247036 0.000292892 0.0091573 7704 7704 23112 0.0156718 0.000185809 0.00580933 -0.0107758
1351.5 0.00813168 0.00862259 0.00881242 0.0240829 -0.000247281 0.00828698 7704 7704 23112 0.0152597 -0.000156685 0.00525091 -0.00563881
1353 0.00814055 0.00863149 0.00882145 0.0231849 -0.000661484 0.0070312 7704 7704 23112 0.0146731 -0.000418636 0.00444987 0.00543618
1354.5 0.00815008 0.00864081 0.00882996 0.0214422 -0.00253817 0.00564105 7704 7704 23112 0.0135539 -0.00160441 0.00356579 0.0122876
1356 0.00815957 0.00865018 0.00883863 0.0201009 -0.00422672 0.00562341 7704 7704 23112 0.0126908 -0.00266855 0.00355035 0.0210212
1357.5 0.00816885 0.00865944 0.0088482 0.0176739 -0.00627958 0.00549062 7704 7704 23112 0.011145 -0.00395985 0.00346234 0.0353167
1359 0.00817784 0.00866879 0.0088573 0.0149851 -0.00795354 0.0043964 7704 7704 23112 0.00943807 -0.00500937 0.00276898 0.0451314
1360.5 0.00818688 0.00867782 0.00886625 0.0135218 -0.00733549 0.00392747 7704 7704 23112 0.0085061 -0.00461451 0.00247064 0.0516036
1362 0.00819591 0.00868595 0.00887515 0.0134532 -0.0075434 0.00315627 7704 7704 23112 0.00845268 -0.00473954 0.00198309 0.0607656
1363.5 0.0082051 0.00869414 0.00888386 0.0126849 -0.00955364 0.00170598 7704 7704 23112 0.00796027 -0.00599527 0.00107057 0.0617828
1365 0.00821462 0.00870217 0.0088927 0.00979628 -0.0110633 0.0014663 7704 7704 23112 0.00614005 -0.0069342 0.000919036 0.0624035
1366.5 0.00822466 0.00870984 0.00890239 0.00827168 -0.0122121 0.00170344 7704 7704 23112 0.00517814 -0.00764485 0.00106637 0.072425
1368 0.00823447 0.00871835 0.00891249 0.00713054 -0.0128516 0.00123793 7704 7704 23112 0.00445832 -0.00803535 0.000774004 0.075017
1369.5 0.00824483 0.00872718 0.00892173 0.00569116 -0.014717 0.00148424 7704 7704 23112 0.00355399 -0.0091904 0.000926875 0.0712073
1371 0.00825515 0.00873593 0.00893106 0.00553377 -0.0160085 0.00163073 7704 7704 23112 0.00345146 -0.00998467 0.0010171 0.0699467
1372.5 0.00826516 0.00874456 0.00894141 0.0034869 -0.0158545 0.00201699 7704 7704 23112 0.00217213 -0.00987645 0.00125647 0.0647771
1374 0.00827474 0.00875317 0.0089514 0.00160071 -0.0155151 0.00260731 7704 7704 23112 0.000995919 -0.0096531 0.0016222 0.055292
1375.5 0.0082843 0.00876153 0.00896112 0.00118059 -0.0144835 0.00338192 7704 7704 23112 0.000733625 -0.00900008 0.00210154 0.0466694
1377 0.00829384 0.00876909 0.00897093 0.00154407 -0.0137215 0.00429834 7704 7704 23112 0.000958304 -0.00851602 0.0026677 0.0437967
1378.5 0.00830356 0.00877664 0.00898048 0.0006054 -0.0143218 0.00479257 7704 7704 23112 0.000375266 -0.00887756 0.00297074 0.0432175
1380 0.00831355 0.00878388 0.00899007 -0.0026564 -0.0148125 0.00600693 7704 7704 23112 -0.00164456 -0.00917031 0.00371886 0.0423391
1381.5 0.00832397 0.00879074 0.00900065 -0.00425241 -0.0132201 0.0060263 7704 7704 23112 -0.00262936 -0.0081743 0.0037262 0.0364055
1383 0.00833412 0.00879847 0.00901154 -0.00527822 -0.0114512 0.00642461 7704 7704 23112 -0.00325957 -0.00707171 0.00396752 0.027038
1384.5 0.0083447 0.00880658 0.00902169 -0.00602988 -0.0130434 0.00692613 7704 7704 23112 -0.0037191 -0.00804489 0.00427189 0.0208466
1386 0.00835525 0.00881443 0.00903188 -0.00514075 -0.0140078 0.00519173 7704 7704 23112 -0.00316673 -0.00862889 0.00319814 0.0104585
1387.5 0.0083655 0.00882225 0.00904285 -0.0057126 -0.0109484 0.00431181 7704 7704 23112 -0.00351457 -0.00673583 0.00265276 -0.0016457
1389 0.00837527 0.00883018 0.00905367 -0.00621873 -0.00867259 0.00387198 7704 7704 23112 -0.00382114 -0.00532894 0.00237917 -0.0102069
1390.5 0.00838501 0.00883792 0.00906413 -0.00686305 -0.00711825 0.00318362 7704 7704 23112 -0.00421173 -0.00436834 0.00195373 -0.0180262
1392 0.00839466 0.00884493 0.00907493 -0.00735456 -0.0053894 0.00372094 7704 7704 23112 -0.00450766 -0.0033032 0.00228059 -0.0232847
1393.5 0.00840448 0.00885207 0.00908553 -0.007052 -0.0047835 0.00430149 7704 7704 23112 -0.00431675 -0.00292813 0.00263308 -0.0215879
1395 0.00841447 0.00885885 0.00909629 -0.00777778 -0.00420948 0.00374847 7704 7704 23112 -0.00475498 -0.00257348 0.00229164 -0.0212189
1396.5 0.00842488 0.0088654 0.00910799 -0.00801564 -0.00173506 0.00197583 7704 7704 23112 -0.00489417 -0.00105939 0.0012064 -0.026755
1398 0.00843495 0.00887299 0.00911973 -0.00728452 -0.000514476 0.00128692 7704 7704 23112 -0.0044421 -0.000313727 0.000784765 -0.0267096
1399.5 0.0084454 0.00888095 0.00913093 -0.00680447 -0.00243795 0.000533981 7704 7704 23112 -0.00414407 -0.00148476 0.000325206 -0.0215091
1401 0.00845582 0.0088885 0.00914183 -0.00561312 -0.0032646 -0.00199124 7704 7704 23112 -0.00341414 -0.00198567 -0.00121116 -0.0221101
1402.5 0.00846597 0.00889615 0.009153 -0.00532173 -0.00159462 -0.00486122 7704 7704 23112 -0.00323275 -0.000968674 -0.00295301 -0.0219976
1404 0.00847562 0.00890403 0.00916383 -0.00567766 -0.000556875 -0.00703759 7704 7704 23112 -0.00344454 -0.000337846 -0.00426958 -0.0159905
1405.5 0.00848529 0.00891179 0.009174 -0.00645293 -0.000888126 -0.00927374 7704 7704 23112 -0.00390984 -0.000538117 -0.00561898 -0.0133856
1407 0.00849481 0.00891883 0.00918425 -0.00775035 0.000180869 -0.0104837 7704 7704 23112 -0.00468989 0.000109448 -0.00634391 -0.0141249
1408.5 0.00850451 0.00892612 0.00919439 -0.00804803 0.00115811 -0.0106709 7704 7704 23112 -0.00486373 0.000699893 -0.00644881 -0.0113961
1410 0.00851436 0.00893301 0.00920453 -0.00732666 0.0015708 -0.012108 7704 7704 23112 -0.00442205 0.000948066 -0.00730787 -0.00709683
1411.5 0.00852463 0.00893974 0.00921521 -0.00732204 0.00272113 -0.0129953 7704 7704 23112 -0.00441352 0.00164023 -0.00783322 -0.00873212
1413 0.00853457 0.00894763 0.00922565 -0.00682631 0.00198752 -0.013716 7704 7704 23112 -0.00410937 0.00119647 -0.00825687 -0.00993885
1414.5 0.00854497 0.00895578 0.00923538 -0.00545668 0.00120691 -0.0147053 7704 7704 23112 -0.00328059 0.000725601 -0.00884093 -0.0114356
1416 0.00855533 0.00896337 0.00924449 -0.00628313 0.000961202 -0.0153513 7704 7704 23112 -0.00377252 0.000577125 -0.0092172 -0.0120151
1417.5 0.00856544 0.00897105 0.00925335 -0.00742144 0.000133348 -0.0162479 7704 7704 23112 -0.00445016 7.99598e-05 -0.00974282 -0.00810148
1419 0.00857498 0.00897899 0.00926137 -0.00761533 0.000115967 -0.0166972 7704 7704 23112 -0.00456043 6.94468e-05 -0.00999907 -0.00555833
1420.5 0.00858453 0.00898681 0.00926845 -0.00815596 -9.68112e-06 -0.0171731 7704 7704 23112 -0.00487777 -5.78991e-06 -0.0102706 -0.00315571
1422 0.00859384 0.0089939 0.00927504 -0.00930045 0.00118528 -0.0177772 7704 7704 23112 -0.00555493 0.00070794 -0.0106179 -0.0018236
1423.5 0.00860331 0.00900138 0.00928142 -0.0088565 0.00190743 -0.0174742 7704 7704 23112 -0.00528279 0.00113776 -0.0104232 -0.0044549
1425 0.00861288 0.00900839 0.00928767 -0.00674068 0.00243544 -0.0166226 7704 7704 23112 -0.00401542 0.00145079 -0.0099021 -0.00891102
1426.5 0.00862302 0.00901537 0.00929436 -0.00585146 0.00270986 -0.0151798 7704 7704 23112 -0.00348109 0.00161213 -0.00903063 -0.00988277
1428 0.00863274 0.00902346 0.009301 -0.0043601 0.00128001 -0.0147758 7704 7704 23112 -0.00259042 0.000760483 -0.00877864 -0.0142499
1429.5 0.00864299 0.00903172 0.00930673 -0.00280214 0.00284254 -0.0141348 7704 7704 23112 -0.0016626 0.00168657 -0.00838663 -0.0227667
1431 0.00865313 0.00903951 0.00931192 -0.00333337 0.00378063 -0.0113254 7704 7704 23112 -0.00197516 0.00224017 -0.00671076 -0.0238932
1432.5 0.00866299 0.00904731 0.00931713 -0.00390839 0.00307217 -0.00839205 7704 7704 23112 -0.00231278 0.00181795 -0.00496599 -0.0222657
1434 0.00867227 0.00905539 0.00932177 -0.00495574 0.00410858 -0.00601559 7704 7704 23112 -0.00292863 0.002428 -0.00355496 -0.028728
1435.5 0.0086815 0.00906344 0.00932574 -0.00606512 0.00455476 -0.00352312 7704 7704 23112 -0.00357942 0.00268806 -0.00207923 -0.0347338
1437 0.00869042 0.00907077 0.00932948 -0.00617578 0.00581946 -0.00175974 7704 7704 23112 -0.00363984 0.00342983 -0.00103714 -0.0316879
1438.5 0.00869946 0.00907863 0.00933312 -0.00480189 0.00721357 -0.000533274 7704 7704 23112 -0.00282629 0.00424576 -0.000313874 -0.0324541
1440 0.00870871 0.00908607 0.00933707 -0.00263884 0.00855777 0.00140058 7704 7704 23112 -0.00155107 0.00503013 0.000823242 -0.038359
1441.5 0.00871859 0.00909367 0.00934192 -0.00288698 0.00945236 0.00340362 7704 7704 23112 -0.00169463 0.00554845 0.0019979 -0.0381367
1443 0.00872796 0.0091024 0.00934721 -0.00315582 0.00846299 0.00458039 7704 7704 23112 -0.00184993 0.00496097 0.002685 -0.0373898
1444.5 0.00873795 0.0091113 0.00935186 -0.00212124 0.0100108 0.00602753 7704 7704 23112 -0.00124177 0.00586032 0.00352851 -0.0381798
1446 0.00874781 0.00911998 0.00935653 -0.00270571 0.0120553 0.00895771 7704 7704 23112 -0.00158177 0.00704756 0.00523671 -0.0316731
1447.5 0.00875732 0.00912862 0.00936213 -0.00353751 0.0118305 0.012056 7704 7704 23112 -0.00206522 0.00690674 0.00703837 -0.024022
1449 0.00876623 0.00913753 0.009368 -0.00471747 0.0114573 0.0142792 7704 7704 23112 -0.00275033 0.0066797 0.00832488 -0.0233599
1450.5 0.00877503 0.00914649 0.00937376 -0.00565305 0.0112475 0.0162479 7704 7704 23112 -0.00329127 0.00654843 0.00945971 -0.0206368
1452 0.00878354 0.00915478 0.00937994 -0.00555699 0.0109193 0.0171518 7704 7704 23112 -0.0032309 0.00634865 0.00997227 -0.0124407
1453.5 0.00879221 0.00916363 0.00938623 -0.00568824 0.0107319 0.0168705 7704 7704 23112 -0.00330267 0.0062311 0.00979523 -0.00479635
1455 0.00880116 0.0091722 0.00939308 -0.00540285 0.010819 0.0170314 7704 7704 23112 -0.00313265 0.00627303 0.00987506 0.00207711
1456.5 0.00881077 0.00918103 0.00940103 -0.00549841 0.0104926 0.0174288 7704 7704 23112 -0.00318366 0.00607536 0.0100916 0.0119591
1458 0.00881983 0.00919094 0.00940971 -0.00628625 0.0085304 0.0178225 7704 7704 23112 -0.00363479 0.0049324 0.0103052 0.0210958
1459.5 0.00882951 0.00920093 0.00941795 -0.00632173 0.00780187 0.0179847 7704 7704 23112 -0.00365024 0.00450489 0.0103846 0.0311906
1461 0.00883905 0.00921081 0.00942644 -0.00703183 0.00828215 0.0179466 7704 7704 23112 -0.00405463 0.00477558 0.0103482 0.0402366
1462.5 0.00884819 0.00922069 0.00943622 -0.008881 0.00788153 0.0173425 7704 7704 23112 -0.00511375 0.00453825 0.00998593 0.0477338
1464 0.00885667 0.00923081 0.00944641 -0.0105005 0.00680212 0.0168786 7704 7704 23112 -0.00603786 0.00391125 0.00970529 0.0577901
1465.5 0.00886503 0.00924093 0.00945669 -0.0112173 0.00497766 0.0165028 7704 7704 23112 -0.00644098 0.00285818 0.00947594 0.0646305
1467 0.00887307 0.0092503 0.00946738 -0.0118472 0.00340502 0.0149639 7704 7704 23112 -0.00679314 0.00195243 0.00858024 0.0691053
1468.5 0.00888126 0.00926019 0.00947791 -0.0125563 0.00266605 0.0127393 7704 7704 23112 -0.00718965 0.00152656 0.00729443 0.0746121
1470 0.00888974 0.00926982 0.00948867 -0.0136092 0.00144548 0.0108946 7704 7704 23112 -0.00778157 0.00082651 0.0062294 0.0810046
1471.5 0.00889878 0.00927958 0.00950036 -0.014339 -0.000950869 0.00939287 7704 7704 23112 -0.00818729 -0.000542929 0.00536316 0.0878588
1473 0.00890721 0.00929025 0.00951252 -0.0153271 -0.00353712 0.00792282 7704 7704 23112 -0.00873913 -0.00201678 0.0045174 0.0905237
1474.5 0.00891622 0.00930071 0.0095241 -0.0156881 -0.00454365 0.00627862 7704 7704 23112 -0.00893234 -0.00258701 0.00357485 0.0881935
1476 0.00892505 0.00931103 0.00953568 -0.0160739 -0.00556108 0.0047676 7704 7704 23112 -0.00913901 -0.00316182 0.00271067 0.079517
1477.5 0.00893349 0.00932133 0.00954829 -0.0173016 -0.00546956 0.00313381 7704 7704 23112 -0.00982307 -0.00310536 0.00177923 0.0704532
1479 0.00894121 0.00933184 0.0095608 -0.0178882 -0.00515733 0.00137086 7704 7704 23112 -0.0101416 -0.00292393 0.000777204 0.0672418
1480.5 0.00894879 0.00934212 0.00957323 -0.0181244 -0.00689068 -0.000286091 7704 7704 23112 -0.0102609 -0.00390106 -0.000161967 0.0609262
1482 0.00895602 0.00935149 0.00958569 -0.0189378 -0.00786439 -0.00137037 7704 7704 23112 -0.0107061 -0.00444595 -0.000774706 0.0492149
1483.5 0.00896333 0.00936131 0.00959775 -0.0194841 -0.00780258 -0.00194051 7704 7704 23112 -0.0109991 -0.00440469 -0.00109545 0.0393874
1485 0.0089709 0.00937072 0.00960962 -0.0194679 -0.00892975 -0.00268561 7704 7704 23112 -0.0109742 -0.00503376 -0.00151389 0.0312078
1486.5 0.00897904 0.00938006 0.00962208 -0.0180101 -0.0108583 -0.00357218 7704 7704 23112 -0.0101378 -0.0061121 -0.00201077 0.0168048
1488 0.00898657 0.00939017 0.00963465 -0.0167539 -0.0115011 -0.00459738 7704 7704 23112 -0.00941708 -0.00646458 -0.00258411 0.00162947
1489.5 0.00899464 0.00939996 0.00964642 -0.0171572 -0.0103896 -0.00536541 7704 7704 23112 -0.00962984 -0.00583141 -0.00301145 -0.0120439
1491 0.0090025 0.00940964 0.0096578 -0.0182738 -0.00924914 -0.00654005 7704 7704 23112 -0.0102417 -0.00518376 -0.00366543 -0.0267473
1492.5 0.00900992 0.00941921 0.00966996 -0.0189151 -0.00788531 -0.00771523 7704 7704 23112 -0.0105857 -0.00441297 -0.00431779 -0.0381763
1494 0.0090166 0.00942905 0.00968166 -0.0197445 -0.0060085 -0.00835228 7704 7704 23112 -0.0110338 -0.00335774 -0.00466751 -0.0481287
1495.5 0.00902323 0.00943855 0.00969302 -0.0189261 -0.00527375 -0.00907324 7704 7704 23112 -0.0105611 -0.00294284 -0.00506302 -0.0559178
1497 0.00902959 0.00944709 0.00970417 -0.0172193 -0.00568762 -0.00911311 7704 7704 23112 -0.00959464 -0.00316915 -0.00507784 -0.0638057
1498.5 0.00903607 0.0094561 0.009715 -0.0162211 -0.00451252 -0.0083287 7704 7704 23112 -0.00902518 -0.0025107 -0.00463397 -0.0751706
1500 0.00904287 0.00946476 0.00972564 -0.014726 -0.00475546 -0.00773376 7704 7704 23112 -0.00818131 -0.00264199 -0.00429665 -0.079814
1501.5 0.00905033 0.00947327 0.00973694 -0.0120977 -0.00627047 -0.00742504 7704 7704 23112 -0.00671126 -0.00347857 -0.00411907 -0.0858558
1503 0.00905732 0.00948253 0.00974817 -0.00935028 -0.00444918 -0.007351 7704 7704 23112 -0.00517946 -0.00246456 -0.00407199 -0.0937687
1504.5 0.0090649 0.00949153 0.00975856 -0.00904332 -0.00280755 -0.00773578 7704 7704 23112 -0.00500203 -0.00155291 -0.00427881 -0.0939923
1506 0.00907232 0.00950051 0.00976831 -0.00840952 -0.00259128 -0.00879165 7704 7704 23112 -0.00464458 -0.00143117 -0.00485563 -0.0929791
