Freq(meV) DoS(Mn) DoS(O) DoS(Y) DoS(Total) JDoS
28 35.6908 25.0871 6.8786 31.0978 2.07531
28.1 34.7818 25.1609 6.95569 30.8671 2.11359
28.2 33.8249 25.2577 7.03249 30.6265 2.1625
28.3 32.8401 25.3528 7.1053 30.3701 2.21947
28.4 31.8476 25.4245 7.17081 30.0935 2.28335
28.5 30.8666 25.4548 7.22633 29.7939 2.35451
28.6 29.9149 25.4309 7.26993 29.4713 2.43478
28.7 29.0087 25.3463 7.30053 29.1279 2.52711
28.8 28.1623 25.2004 7.31794 28.7688 2.63506
28.9 27.3882 24.9991 7.32287 28.4019 2.76218
29 26.6974 24.7534 7.31681 28.0372 2.91128
29.1 26.0998 24.4791 7.30197 27.6871 3.08371
29.2 25.6041 24.1948 7.2811 27.3653 3.27877
29.3 25.2187 23.921 7.25733 27.0863 3.49326
29.4 24.9511 23.6783 7.234 26.8646 3.72126
29.5 24.8081 23.4858 7.21446 26.7141 3.95421
29.6 24.7952 23.3599 7.20191 26.6467 4.18124
29.7 24.9162 23.313 7.19917 26.6718 4.3898
29.8 25.1723 23.3529 7.20861 26.7957 4.56656
29.9 25.5613 23.4821 7.23192 27.0204 4.6984
30 26.0768 23.698 7.27003 27.3434 4.77356
30.1 26.7077 23.9927 7.32307 27.7578 4.78276
30.2 27.4376 24.3541 7.39025 28.2516 4.72017
30.3 28.2447 24.7664 7.46991 28.8086 4.58423
30.4 29.1023 25.2115 7.55958 29.409 4.37817
30.5 29.9794 25.6697 7.65607 30.0296 4.11016
30.6 30.8418 26.1216 7.75565 30.6457 3.7931
30.7 31.6538 26.5488 7.8543 31.2321 3.4441
30.8 32.3797 26.9353 7.94799 31.7644 3.08352
30.9 32.9858 27.2681 8.03298 32.2204 2.73382
31 33.4421 27.5381 8.1062 32.5817 2.41819
31.1 33.7241 27.7405 8.16557 32.8348 2.1591
31.2 33.8145 27.8743 8.21032 32.9717 1.97686
31.3 33.7036 27.9429 8.2412 32.9909 1.88829
31.4 33.3901 27.9529 8.26067 32.8973 1.90565
31.5 32.8811 27.9135 8.27288 32.7019 2.03585
31.6 32.1917 27.8357 8.2836 32.4211 2.27995
31.7 31.3435 27.7311 8.29989 32.0758 2.63315
31.8 30.3636 27.6107 8.32974 31.6897 3.08504
31.9 29.2825 27.484 8.38145 31.2877 3.62027
32 28.1329 27.3582 8.46305 30.894 4.21942
32.1 26.9475 27.2372 8.58154 30.5307 4.8602
32.2 25.7574 27.1214 8.74219 30.216 5.5187
32.3 24.591 27.0076 8.94789 29.9628 6.17067
32.4 23.4729 26.8892 9.19864 29.7778 6.79286
32.5 22.4234 26.7567 9.49116 29.6615 7.36411
32.6 21.4582 26.5983 9.81877 29.6077 7.86636
32.7 20.589 26.4016 10.1716 29.6049 8.28541
32.8 19.8232 26.1542 10.5368 29.6364 8.61136
32.9 19.1656 25.8451 10.8995 29.6828 8.83892
33 18.6182 25.4662 11.2434 29.723 8.96729
33.1 18.1815 25.013 11.552 29.7366 8.99998
33.2 17.8546 24.4855 11.8095 29.7054 8.94423
33.3 17.636 23.8889 12.0025 29.6151 8.81049
33.4 17.5235 23.2333 12.1203 29.4567 8.61156
33.5 17.514 22.5335 12.1563 29.2271 8.3618
33.6 17.6034 21.8087 12.1087 28.9298 8.07628
33.7 17.7859 21.0808 11.9802 28.5743 7.76989
33.8 18.0535 20.3731 11.7789 28.1755 7.45659
33.9 18.3959 19.7092 11.5168 27.7524 7.14866
34 18.7995 19.1111 11.2101 27.3266 6.85616
34.1 19.2479 18.5975 10.8776 26.9207 6.58647
34.2 19.7221 18.1826 10.5396 26.556 6.34405
34.3 20.2007 17.8751 10.2167 26.2513 6.13032
34.4 20.661 17.6774 9.92833 26.0212 5.94381
34.5 21.0801 17.5856 9.69171 25.8751 5.78045
34.6 21.4363 17.5898 9.52068 25.8168 5.63402
34.7 21.7105 17.6745 9.42507 25.8443 5.49683
34.8 21.8871 17.8204 9.41019 25.9504 5.36041
34.9 21.956 18.0053 9.47686 26.1238 5.21641
35 21.9126 18.2063 9.62161 26.3498 5.05741
35.1 21.7586 18.4011 9.83735 26.6126 4.87774
35.2 21.5022 18.57 10.1141 26.8963 4.6742
35.3 21.157 18.6973 10.4399 27.1865 4.44662
35.4 20.7416 18.7721 10.8022 27.4715 4.19817
35.5 20.2777 18.7895 11.1881 27.7432 3.93546
35.6 19.7891 18.7499 11.586 27.9974 3.66833
35.7 19.2992 18.6598 11.9858 28.234 3.40932
35.8 18.83 18.53 12.3792 28.456 3.17297
35.9 18.3998 18.3749 12.7603 28.6691 2.97478
36 18.0223 18.211 13.1249 28.8801 2.83011
36.1 17.7057 18.0552 13.4707 29.096 2.75293
36.2 17.4523 17.9233 13.7966 29.3222 2.75467
36.3 17.2582 17.8285 14.1021 29.562 2.84315
36.4 17.1147 17.78 14.3869 29.8149 3.02171
36.5 17.0084 17.7825 14.6503 30.0772 3.28872
36.6 16.9234 17.8355 14.8913 30.3411 3.63738
36.7 16.8421 17.9335 15.1079 30.5958 4.05593
36.8 16.7474 18.0669 15.2978 30.8281 4.52831
36.9 16.6239 18.222 15.4583 31.024 5.03516
