Freq(meV) DoS(Mn) DoS(O) DoS(Y) DoS(Total) JDoS
269.4 0.896759 0.802453 0.796415 1.56168 0.777407
269.5 0.897456 0.803736 0.796147 1.56212 0.755457
269.6 0.896326 0.806703 0.796125 1.5628 0.733516
269.7 0.893497 0.811202 0.796377 1.56373 0.712282
269.8 0.88917 0.816993 0.796935 1.56493 0.692559
269.9 0.883605 0.823768 0.797827 1.56641 0.675182
270 0.87711 0.831171 0.799079 1.56819 0.660939
270.1 0.870013 0.838832 0.800714 1.57028 0.650486
270.2 0.862642 0.846386 0.802743 1.57268 0.644277
270.3 0.8553 0.853503 0.805167 1.57537 0.642505
270.4 0.848244 0.859907 0.807974 1.57834 0.64507
270.5 0.841672 0.86539 0.811136 1.58154 0.651571
270.6 0.835711 0.869825 0.814606 1.58494 0.66133
270.7 0.830415 0.873166 0.818325 1.58845 0.673439
270.8 0.825769 0.875445 0.822215 1.59201 0.68684
270.9 0.821706 0.876764 0.82619 1.59551 0.700411
271 0.818119 0.877278 0.830152 1.59888 0.713073
271.1 0.814888 0.877177 0.834001 1.60202 0.723889
271.2 0.811901 0.876669 0.837636 1.60485 0.732155
271.3 0.809078 0.875958 0.840962 1.60731 0.737479
271.4 0.806389 0.875225 0.843893 1.60936 0.739823
271.5 0.803868 0.874615 0.84636 1.61099 0.739525
271.6 0.801619 0.874226 0.848307 1.61221 0.737279
271.7 0.79981 0.874101 0.849701 1.61307 0.734084
271.8 0.798667 0.874234 0.850527 1.61363 0.731167
271.9 0.798448 0.87457 0.850791 1.61398 0.729878
272 0.799422 0.875015 0.850519 1.61421 0.731569
272.1 0.801838 0.875454 0.849752 1.61442 0.737474
272.2 0.805895 0.875762 0.848549 1.61471 0.748587
272.3 0.811711 0.875818 0.846976 1.61515 0.765559
272.4 0.819305 0.875526 0.845107 1.6158 0.788624
272.5 0.828574 0.874821 0.843021 1.61668 0.817545
272.6 0.839293 0.873679 0.840796 1.61779 0.85161
272.7 0.851116 0.872119 0.838506 1.61909 0.889655
272.8 0.863592 0.870205 0.836222 1.6205 0.930132
272.9 0.876188 0.868036 0.834002 1.62194 0.971197
273 0.888327 0.865738 0.8319 1.62329 1.01083
273.1 0.899423 0.863448 0.829955 1.62443 1.04699
273.2 0.908924 0.861302 0.828197 1.62522 1.07771
273.3 0.916353 0.859421 0.826642 1.62556 1.10127
273.4 0.921345 0.857891 0.825295 1.62534 1.11631
273.5 0.923676 0.85676 0.824151 1.62448 1.12189
273.6 0.923282 0.856025 0.823195 1.62296 1.11759
273.7 0.920264 0.855634 0.822402 1.62075 1.10354
273.8 0.914889 0.855486 0.821741 1.61788 1.08037
273.9 0.907564 0.855442 0.821173 1.61441 1.04919
274 0.898811 0.855333 0.82066 1.61044 1.01153
274.1 0.889231 0.85498 0.820161 1.60608 0.969185
274.2 0.879455 0.854204 0.819637 1.60144 0.924164
274.3 0.870096 0.852849 0.819054 1.59668 0.878515
274.4 0.861709 0.850795 0.818384 1.59193 0.834213
274.5 0.854743 0.847967 0.817609 1.5873 0.79305
274.6 0.849507 0.84435 0.816722 1.5829 0.75653
274.7 0.846152 0.839988 0.815724 1.57881 0.725798
274.8 0.844653 0.834982 0.814632 1.57507 0.701591
274.9 0.844817 0.829486 0.813469 1.5717 0.684228
275 0.846295 0.823696 0.812271 1.56868 0.673617
275.1 0.848613 0.817831 0.811077 1.56596 0.669298
275.2 0.851209 0.812123 0.809931 1.56346 0.670509
275.3 0.853479 0.806791 0.808875 1.56108 0.676263
275.4 0.854825 0.802034 0.807948 1.55871 0.685438
275.5 0.854709 0.798008 0.80718 1.55625 0.696878
275.6 0.852696 0.794819 0.80659 1.55359 0.709475
275.7 0.848491 0.792513 0.806184 1.55064 0.722252
275.8 0.841973 0.791078 0.805952 1.54733 0.734429
275.9 0.833205 0.790441 0.805871 1.54365 0.745464
276 0.822438 0.79048 0.805904 1.53959 0.755076
276.1 0.810097 0.79103 0.806003 1.5352 0.763247
276.2 0.796756 0.7919 0.806117 1.53056 0.770195
276.3 0.783097 0.792891 0.806188 1.52581 0.776334
276.4 0.769863 0.793807 0.806165 1.52108 0.782218
276.5 0.757808 0.794477 0.806006 1.51654 0.788474
276.6 0.747632 0.794766 0.805682 1.5124 0.795731
276.7 0.739941 0.794589 0.805181 1.50882 0.804547
276.8 0.735191 0.793919 0.804511 1.50598 0.815354
276.9 0.733655 0.792792 0.803702 1.50403 0.828398
277 0.735403 0.791305 0.802804 1.50311 0.843713
277.1 0.740288 0.789617 0.801885 1.50327 0.861102
277.2 0.747959 0.787934 0.801024 1.50457 0.880143
277.3 0.757884 0.786505 0.800312 1.507 0.900209
277.4 0.769382 0.785596 0.799836 1.5105 0.920514
277.5 0.781677 0.785483 0.79968 1.51498 0.940164
277.6 0.793951 0.786427 0.799912 1.52029 0.958222
277.7 0.805403 0.788654 0.800582 1.52628 0.973776
277.8 0.815306 0.792341 0.801715 1.53277 0.986007
277.9 0.823062 0.797595 0.803306 1.53957 0.994242
278 0.828239 0.804445 0.805322 1.54647 0.998008
278.1 0.830605 0.812827 0.807699 1.5533 0.99706
278.2 0.83014 0.822584 0.810347 1.55988 0.991398
278.3 0.827031 0.833468 0.813156 1.56607 0.981256
278.4 0.821656 0.845148 0.816001 1.57174 0.967091
278.5 0.814549 0.85722 0.818749 1.57679 0.949534
278.6 0.806357 0.869233 0.82127 1.58113 0.92935
278.7 0.797784 0.880709 0.823443 1.58473 0.90738
278.8 0.789537 0.891167 0.825167 1.58755 0.884484
278.9 0.782266 0.90016 0.826364 1.58958 0.861486
279 0.776518 0.907296 0.826984 1.59082 0.839131
279.1 0.772692 0.912266 0.827012 1.59129 0.818049
279.2 0.771015 0.914868 0.826466 1.59102 0.798737
279.3 0.771524 0.915018 0.825394 1.59004 0.781548
279.4 0.774071 0.91276 0.823873 1.58841 0.766704
279.5 0.77834 0.908269 0.822001 1.58618 0.754309
279.6 0.783878 0.901834 0.819894 1.58342 0.74438
279.7 0.790137 0.893846 0.817675 1.58022 0.736873
279.8 0.796523 0.88477 0.815469 1.57667 0.731714
279.9 0.802449 0.875119 0.813391 1.57286 0.728821
280 0.807384 0.865412 0.811546 1.56892 0.728121
280.1 0.810899 0.856149 0.810019 1.56498 0.729557
280.2 0.812704 0.847772 0.808872 1.56115 0.733078
280.3 0.812671 0.840636 0.808142 1.55758 0.738629
280.4 0.810843 0.834996 0.807841 1.55438 0.746127
280.5 0.807434 0.830985 0.807957 1.55168 0.755435
280.6 0.802808 0.828615 0.808456 1.54958 0.766338
280.7 0.797455 0.827781 0.809287 1.54817 0.77852
280.8 0.791948 0.82828 0.810383 1.54751 0.791562
280.9 0.786903 0.829827 0.811672 1.54765 0.804936
281 0.78293 0.832087 0.813072 1.5486 0.818031
281.1 0.780588 0.834703 0.814506 1.55035 0.830177
281.2 0.780348 0.837328 0.815897 1.55286 0.840696
281.3 0.782557 0.839652 0.817175 1.55605 0.848952
281.4 0.787412 0.841422 0.818279 1.55985 0.854407
281.5 0.794954 0.842463 0.81916 1.56413 0.856676
281.6 0.80506 0.842683 0.819776 1.56879 0.855572
281.7 0.817457 0.842076 0.820102 1.57366 0.851136
281.8 0.831737 0.84071 0.820119 1.57861 0.843644
281.9 0.847383 0.838719 0.819825 1.58349 0.833602
282 0.863804 0.836283 0.819226 1.58815 0.821705
282.1 0.880366 0.833602 0.818343 1.59244 0.808783
282.2 0.896428 0.830884 0.817205 1.59623 0.795733
282.3 0.911371 0.828319 0.815856 1.59941 0.783432
282.4 0.924634 0.826063 0.814347 1.60189 0.77266
282.5 0.935732 0.824233 0.81274 1.60359 0.764019
282.6 0.944274 0.822894 0.811106 1.60447 0.757877
282.7 0.949979 0.822062 0.809519 1.60451 0.754326
282.8 0.952677 0.821707 0.808059 1.60373 0.75317
282.9 0.952307 0.821762 0.806801 1.60217 0.753948
283 0.948916 0.822129 0.805815 1.59989 0.755978
283.1 0.942646 0.822693 0.805162 1.59696 0.758427
283.2 0.933723 0.82333 0.804884 1.59347 0.760404
283.3 0.922443 0.823914 0.805004 1.58953 0.761056
283.4 0.909155 0.824321 0.805524 1.5852 0.759666
283.5 0.894252 0.824432 0.806416 1.58057 0.755737
283.6 0.878151 0.824133 0.807627 1.5757 0.749056
283.7 0.861285 0.823313 0.809079 1.5706 0.739728
283.8 0.844093 0.821861 0.810672 1.56531 0.728174
283.9 0.827007 0.819668 0.81229 1.5598 0.715104
284 0.810446 0.816626 0.813811 1.55405 0.701443
284.1 0.794813 0.812632 0.81511 1.54805 0.688246
284.2 0.780479 0.807598 0.816074 1.54175 0.676588
284.3 0.767787 0.801459 0.81661 1.53517 0.667453
284.4 0.757041 0.794191 0.816653 1.52834 0.66163
284.5 0.748495 0.785823 0.816175 1.52133 0.659627
284.6 0.742353 0.776454 0.815187 1.51428 0.661619
284.7 0.738757 0.76626 0.813744 1.50736 0.667424
284.8 0.737775 0.755509 0.811941 1.50081 0.676526
284.9 0.739399 0.744554 0.809912 1.49492 0.688134
285 0.743533 0.733828 0.807817 1.49 0.701268
285.1 0.749985 0.723829 0.805837 1.48638 0.714875
285.2 0.75847 0.715098 0.804159 1.48436 0.727953
285.3 0.768602 0.708183 0.802961 1.48422 0.739669
285.4 0.779906 0.703607 0.802404 1.48615 0.749458
285.5 0.791822 0.701829 0.802616 1.49026 0.757098
285.6 0.803722 0.703208 0.803683 1.49656 0.76274
285.7 0.814934 0.70797 0.805642 1.5049 0.766892
285.8 0.824767 0.716185 0.808481 1.51505 0.770354
285.9 0.832544 0.72775 0.812133 1.52662 0.774124
286 0.837634 0.74239 0.816486 1.53915 0.779256
286.1 0.839494 0.759665 0.82139 1.55208 0.786712
286.2 0.837699 0.778995 0.826665 1.56482 0.797207
286.3 0.831976 0.799694 0.832113 1.57678 0.811074
286.4 0.822232 0.821008 0.837533 1.58741 0.82816
286.5 0.808569 0.842166 0.842733 1.59624 0.847774
286.6 0.791291 0.86242 0.84754 1.60288 0.868682
286.7 0.770898 0.881098 0.851811 1.60712 0.88918
286.8 0.748072 0.897631 0.855436 1.60887 0.907213
286.9 0.723642 0.911591 0.858342 1.6082 0.92055
287 0.698548 0.922698 0.860496 1.60533 0.926999
287.1 0.673789 0.93083 0.861897 1.60058 0.924631
287.2 0.650371 0.936013 0.862573 1.59439 0.912012
287.3 0.629251 0.9384 0.862573 1.58723 0.888395
287.4 0.611283 0.938247 0.861959 1.57961 0.853873
287.5 0.597173 0.935883 0.860799 1.57199 0.809462
287.6 0.587442 0.93167 0.859161 1.56478 0.757103
287.7 0.582405 0.92598 0.857106 1.55833 0.699589
287.8 0.582161 0.91916 0.854684 1.55286 0.640399
287.9 0.5866 0.91152 0.851938 1.54849 0.583474
288 0.595425 0.903314 0.848898 1.54524 0.532925
288.1 0.608186 0.894745 0.84559 1.54305 0.492722
288.2 0.624319 0.885966 0.842037 1.54179 0.466371
288.3 0.643195 0.877089 0.838265 1.54129 0.456618
288.4 0.664166 0.868208 0.834303 1.54136 0.465197
288.5 0.686607 0.859409 0.830192 1.54186 0.492658
288.6 0.709948 0.85079 0.825982 1.54266 0.538274
288.7 0.733698 0.842471 0.821734 1.54369 0.600056
288.8 0.757451 0.834602 0.81752 1.54493 0.674855
288.9 0.780883 0.827362 0.813414 1.54641 0.758569
289 0.803733 0.820955 0.809492 1.54819 0.846417
289.1 0.82578 0.815594 0.805827 1.55037 0.933267
289.2 0.846809 0.811488 0.802479 1.553 1.014
289.3 0.866578 0.80882 0.799495 1.55611 1.08387
289.4 0.884796 0.807727 0.796902 1.55968 1.13881
289.5 0.901102 0.808285 0.794709 1.56361 1.17574
289.6 0.915059 0.810494 0.792904 1.56771 1.19274
289.7 0.926172 0.81427 0.791457 1.57174 1.18916
289.8 0.933905 0.819444 0.790327 1.57538 1.16564
289.9 0.937733 0.82577 0.789465 1.57827 1.12402
290 0.937188 0.832934 0.788819 1.58006 1.06719
290.1 0.931921 0.840572 0.788343 1.58042 0.998807
290.2 0.921762 0.848292 0.788003 1.5791 0.923078
290.3 0.90677 0.855694 0.787776 1.57594 0.844401
290.4 0.887275 0.862394 0.787657 1.57091 0.767087
290.5 0.863893 0.868045 0.787655 1.56414 0.695074
290.6 0.837526 0.872349 0.787794 1.55587 0.631694
290.7 0.809327 0.875079 0.788104 1.5465 0.57951
290.8 0.780645 0.876081 0.78862 1.53651 0.540208
290.9 0.752945 0.875287 0.789371 1.52649 0.514577
291 0.72771 0.872714 0.790377 1.51702 0.502548
291.1 0.706334 0.868468 0.791643 1.50869 0.503305
291.2 0.690012 0.862744 0.793154 1.502 0.51543
291.3 0.679643 0.855822 0.794877 1.49737 0.537086
291.4 0.67575 0.848067 0.796758 1.49507 0.566215
291.5 0.678419 0.839926 0.798731 1.49524 0.600719
291.6 0.687287 0.831916 0.800719 1.49785 0.638632
291.7 0.701551 0.824617 0.802647 1.50272 0.678248
291.8 0.720025 0.818657 0.804444 1.50956 0.718216
291.9 0.741221 0.814686 0.806058 1.51799 0.757579
292 0.763472 0.813348 0.807456 1.52758 0.795779
292.1 0.785057 0.815247 0.808632 1.53789 0.83261
292.2 0.804347 0.820902 0.809607 1.54854 0.868145
292.3 0.819941 0.830704 0.810428 1.55918 0.902642
292.4 0.830786 0.844868 0.811164 1.56958 0.936433
292.5 0.836273 0.86339 0.811893 1.57958 0.969823
292.6 0.836294 0.886015 0.8127 1.58916 1.00299
292.7 0.831257 0.912216 0.813658 1.59834 1.03591
292.8 0.822067 0.941183 0.814823 1.60723 1.06832
292.9 0.81005 0.971845 0.816223 1.61596 1.09969
293 0.796851 1.00291 0.817852 1.62465 1.12923
293.1 0.784304 1.03291 0.819666 1.63339 1.15594
293.2 0.774278 1.06029 0.821585 1.64222 1.17868
293.3 0.768524 1.08353 0.823497 1.65109 1.19622
293.4 0.768528 1.1012 0.82527 1.65987 1.20736
293.5 0.775384 1.11208 0.826763 1.66836 1.21103
293.6 0.789696 1.1153 0.827839 1.67629 1.20634
293.7 0.811526 1.11036 0.828382 1.68336 1.19268
293.8 0.840369 1.09724 0.828312 1.68929 1.16982
293.9 0.875188 1.07639 0.827592 1.6938 1.13785
294 0.914483 1.04872 0.82624 1.69669 1.09732
294.1 0.956387 1.0156 0.824329 1.69786 1.04913
294.2 0.998805 0.97871 0.821987 1.69728 0.994569
294.3 1.03955 0.939972 0.819386 1.69507 0.935219
294.4 1.0765 0.901402 0.816732 1.69141 0.872913
294.5 1.10774 0.864961 0.814246 1.68657 0.809637
294.6 1.13166 0.832414 0.812147 1.68087 0.747439
294.7 1.14711 0.805193 0.810634 1.67464 0.68833
294.8 1.15342 0.784293 0.809865 1.66819 0.634182
294.9 1.15042 0.770197 0.809942 1.66175 0.586641
295 1.1385 0.762847 0.810905 1.65549 0.547045
295.1 1.11851 0.761662 0.812722 1.64948 0.516357
295.2 1.09171 0.765596 0.815291 1.64369 0.495127
295.3 1.05971 0.773242 0.81845 1.63801 0.483468
295.4 1.0243 0.782963 0.821986 1.63225 0.48106
295.5 0.987425 0.793051 0.825652 1.62622 0.487186
295.6 0.950985 0.801882 0.829187 1.61972 0.500779
295.7 0.916785 0.808068 0.832339 1.61264 0.520502
295.8 0.886419 0.810591 0.834878 1.60491 0.544835
295.9 0.861199 0.808891 0.83662 1.59662 0.572173
296 0.842094 0.802923 0.837435 1.58798 0.600931
296.1 0.829695 0.793155 0.837257 1.57931 0.629642
296.2 0.824204 0.780525 0.836084 1.57104 0.657036
296.3 0.825433 0.766347 0.833979 1.56368 0.68211
296.4 0.832829 0.752183 0.831057 1.55775 0.704168
296.5 0.845518 0.739692 0.827475 1.55372 0.722834
296.6 0.862352 0.730467 0.823416 1.55198 0.738043
296.7 0.881977 0.725879 0.819075 1.55275 0.749992
296.8 0.902905 0.72694 0.814642 1.55607 0.759086
296.9 0.923589 0.7342 0.810287 1.56175 0.765856
297 0.942501 0.747688 0.806152 1.56939 0.770871
297.1 0.958214 0.766902 0.802345 1.57837 0.774657
297.2 0.969471 0.790848 0.798934 1.5879 0.777622
297.3 0.975258 0.818124 0.795953 1.59712 0.779996
297.4 0.974851 0.847047 0.793405 1.60509 0.781807
297.5 0.967868 0.875796 0.79127 1.61096 0.782872
297.6 0.954286 0.902581 0.789516 1.61399 0.782831
297.7 0.934455 0.92579 0.788107 1.61367 0.781197
297.8 0.909078 0.944134 0.787016 1.60973 0.777439
297.9 0.879182 0.956749 0.786227 1.60222 0.771071
298 0.846056 0.963261 0.785742 1.5915 0.761749
298.1 0.811188 0.963801 0.785582 1.57821 0.749356
298.2 0.776171 0.958978 0.785785 1.56322 0.734076
298.3 0.742608 0.949799 0.7864 1.5476 0.716433
298.4 0.712019 0.937557 0.787482 1.53248 0.697296
298.5 0.685741 0.923697 0.789083 1.51898 0.677848
298.6 0.664844 0.909667 0.791242 1.50811 0.659511
298.7 0.650065 0.896771 0.793977 1.50068 0.643844
298.8 0.641761 0.88605 0.79728 1.4972 0.632402
298.9 0.63989 0.87818 0.801114 1.49787 0.626593
299 0.644017 0.873422 0.805405 1.50254 0.627528
299.1 0.653352 0.871603 0.810051 1.51074 0.635887
299.2 0.666808 0.872158 0.814922 1.52167 0.65181
299.3 0.683085 0.874192 0.819866 1.53433 0.674839
299.4 0.700761 0.876598 0.824719 1.54757 0.703898
299.5 0.7184 0.878174 0.829313 1.56017 0.737345
299.6 0.734648 0.877765 0.833485 1.571 0.77306
299.7 0.748329 0.874389 0.837089 1.57907 0.808602
299.8 0.758522 0.867349 0.839997 1.5836 0.841391
299.9 0.764612 0.856315 0.842115 1.58414 0.868924
300 0.766326 0.841368 0.843377 1.58053 0.888988
300.1 0.763731 0.823002 0.843757 1.57296 0.899866
300.2 0.757215 0.802085 0.843262 1.56192 0.900509
300.3 0.747439 0.779783 0.841939 1.54815 0.890658
300.4 0.735278 0.757462 0.839863 1.5326 0.8709
300.5 0.721742 0.736557 0.837143 1.51632 0.842661
300.6 0.7079 0.718453 0.833911 1.50042 0.808123
300.7 0.694796 0.704361 0.830321 1.48592 0.77007
300.8 0.683386 0.695216 0.826542 1.47373 0.731686
300.9 0.674475 0.691605 0.822751 1.46461 0.696303
301 0.668678 0.693726 0.819125 1.45905 0.667141
301.1 0.666399 0.701388 0.815839 1.45734 0.647037
301.2 0.667823 0.714044 0.813053 1.45952 0.638213
301.3 0.672927 0.730854 0.810904 1.46543 0.642079
301.4 0.681508 0.75078 0.809501 1.47471 0.659107
301.5 0.693209 0.772684 0.808913 1.48688 0.688776
301.6 0.70756 0.795434 0.809165 1.50134 0.729597
301.7 0.724017 0.818003 0.810231 1.51746 0.779225
301.8 0.741991 0.839549 0.81203 1.53462 0.83463
301.9 0.76088 0.859467 0.814428 1.55219 0.892336
302 0.780089 0.877414 0.817238 1.5696 0.948688
302.1 0.799047 0.893304 0.82023 1.58635 1.00014
302.2 0.817216 0.907274 0.823143 1.60196 1.04352
302.3 0.834096 0.91962 0.825695 1.61605 1.07629
302.4 0.849227 0.930732 0.827607 1.62826 1.09673
302.5 0.8622 0.941005 0.82862 1.6383 1.10406
302.6 0.872658 0.950767 0.828514 1.6459 1.09848
302.7 0.880316 0.960216 0.827131 1.65085 1.08116
302.8 0.884967 0.969369 0.824389 1.65298 1.05408
302.9 0.886509 0.978051 0.820296 1.6522 1.01994
303 0.884961 0.985895 0.814956 1.64848 0.981826
303.1 0.880477 0.992378 0.808568 1.64193 0.943057
303.2 0.873364 0.996881 0.801419 1.63274 0.906856
303.3 0.864078 0.998751 0.793871 1.62126 0.876119
303.4 0.853218 0.99739 0.786334 1.60795 0.853199
303.5 0.841504 0.992323 0.779247 1.59342 0.839734
303.6 0.82974 0.983268 0.773041 1.57836 0.836541
303.7 0.818765 0.970183 0.768112 1.56352 0.843582
303.8 0.809396 0.953288 0.764789 1.54968 0.859996
303.9 0.802364 0.933059 0.763312 1.53757 0.884193
304 0.798253 0.910199 0.763806 1.52784 0.914009
304.1 0.797441 0.885579 0.766277 1.52096 0.94689
304.2 0.800056 0.860162 0.770604 1.5172 0.980111
304.3 0.805954 0.834919 0.776546 1.51662 1.01098
304.4 0.814705 0.810739 0.783762 1.519 1.03707
304.5 0.825621 0.788348 0.791833 1.52386 1.05633
304.6 0.837793 0.768246 0.80029 1.53053 1.06731
304.7 0.850158 0.750666 0.808654 1.53812 1.06914
304.8 0.861577 0.735559 0.816466 1.54566 1.06165
304.9 0.870929 0.722616 0.823319 1.55214 1.04526
305 0.877202 0.711307 0.828892 1.55661 1.02098
305.1 0.879584 0.700955 0.832965 1.55823 0.990277
305.2 0.877535 0.690822 0.835434 1.55641 0.954904
305.3 0.870839 0.680201 0.836316 1.5508 0.916798
305.4 0.859633 0.66851 0.835735 1.54139 0.877905
305.5 0.844401 0.655372 0.833912 1.52846 0.840046
305.6 0.825942 0.640677 0.831139 1.51262 0.804802
305.7 0.805306 0.624615 0.82775 1.49472 0.773429
305.8 0.783713 0.607675 0.82409 1.47581 0.746803
305.9 0.762453 0.59062 0.820483 1.45704 0.725408
306 0.742777 0.574421 0.817205 1.43958 0.709348
306.1 0.725797 0.560181 0.814461 1.42451 0.698394
306.2 0.712392 0.549025 0.812369 1.41273 0.692048
306.3 0.703135 0.541997 0.810956 1.40489 0.689621
306.4 0.698255 0.539958 0.810156 1.40133 0.690313
306.5 0.697613 0.543488 0.809827 1.40206 0.693292
306.6 0.700729 0.552823 0.809763 1.40674 0.697758
306.7 0.706823 0.567816 0.809723 1.41475 0.702989
306.8 0.714893 0.587927 0.809454 1.42521 0.708378
306.9 0.723801 0.612259 0.80872 1.43706 0.71344
307 0.732382 0.639617 0.807326 1.44919 0.717806
307.1 0.739542 0.668593 0.805142 1.46049 0.721203
307.2 0.744355 0.697679 0.802113 1.46997 0.723427
307.3 0.74614 0.725383 0.79827 1.47683 0.724312
307.4 0.74452 0.750341 0.793729 1.48054 0.723705
307.5 0.739447 0.771428 0.788679 1.48087 0.721442
307.6 0.731202 0.787841 0.783373 1.47791 0.717348
307.7 0.720366 0.799152 0.778103 1.47205 0.711237
307.8 0.707767 0.805341 0.773178 1.46396 0.702941
307.9 0.694407 0.80678 0.768901 1.45451 0.692334
308 0.681374 0.804196 0.765542 1.44469 0.67938
308.1 0.669757 0.798599 0.763323 1.43558 0.66417
308.2 0.660557 0.79119 0.762398 1.42817 0.64696
308.3 0.654613 0.783257 0.762845 1.42338 0.628201
308.4 0.652542 0.776063 0.764662 1.42193 0.608547
308.5 0.654704 0.770745 0.767775 1.42429 0.588846
308.6 0.661185 0.76822 0.772039 1.43068 0.570106
308.7 0.671806 0.769113 0.77726 1.44106 0.553436
308.8 0.686147 0.77372 0.783203 1.45511 0.539975
308.9 0.703595 0.781983 0.789619 1.47229 0.530793
309 0.723395 0.79351 0.796255 1.49186 0.526793
309.1 0.744712 0.807611 0.802874 1.51297 0.528615
309.2 0.76669 0.823363 0.809266 1.53471 0.536544
309.3 0.78851 0.839683 0.815254 1.55614 0.550449
309.4 0.809428 0.855418 0.820703 1.57638 0.569743
309.5 0.828814 0.869437 0.825517 1.59466 0.593383
309.6 0.846171 0.880708 0.82963 1.61031 0.619913
309.7 0.861136 0.888379 0.833009 1.62282 0.647542
309.8 0.87348 0.89183 0.835635 1.63187 0.674263
309.9 0.88309 0.890714 0.837502 1.63725 0.697994
310 0.889952 0.884974 0.838603 1.63894 0.716748
310.1 0.894125 0.87484 0.838927 1.63703 0.728796
310.2 0.895723 0.860809 0.838455 1.63174 0.73283
310.3 0.894896 0.843606 0.83716 1.62337 0.728094
310.4 0.891815 0.824138 0.83501 1.6123 0.714481
310.5 0.886674 0.803433 0.831974 1.59895 0.692578
310.6 0.879681 0.782582 0.828029 1.58379 0.663662
310.7 0.871069 0.762675 0.823174 1.56733 0.629622
310.8 0.861104 0.744746 0.817436 1.5501 0.592843
310.9 0.85009 0.729719 0.810877 1.53264 0.556034
311 0.838375 0.718364 0.803608 1.5155 0.522017
311.1 0.826356 0.711265 0.795783 1.49923 0.493508
311.2 0.814475 0.708793 0.787606 1.48438 0.472893
311.3 0.803203 0.711093 0.77932 1.47145 0.462025
311.4 0.793027 0.71808 0.771205 1.46094 0.462064
311.5 0.784424 0.729441 0.763561 1.45323 0.473372
311.6 0.777834 0.744653 0.756697 1.44866 0.495473
311.7 0.773628 0.763006 0.750909 1.44743 0.527083
311.8 0.772081 0.783628 0.74647 1.44963 0.566222
311.9 0.773347 0.80553 0.74361 1.4552 0.610376
312 0.777441 0.827644 0.742504 1.46394 0.656721
312.1 0.784228 0.848875 0.743258 1.47551 0.702366
312.2 0.793424 0.868148 0.745903 1.48942 0.744618
312.3 0.804612 0.884465 0.750396 1.50507 0.781215
312.4 0.817255 0.896955 0.756615 1.5218 0.810538
312.5 0.830737 0.904919 0.764368 1.53887 0.831748
312.6 0.84439 0.907873 0.773402 1.55557 0.844864
312.7 0.857543 0.90558 0.783414 1.57119 0.850749
312.8 0.869559 0.898066 0.794066 1.58512 0.851018
312.9 0.879876 0.885629 0.805 1.59684 0.847874
313 0.888041 0.868827 0.815855 1.60597 0.843882
313.1 0.893734 0.848451 0.826277 1.61231 0.841701
313.2 0.896788 0.825486 0.835938 1.61577 0.843813
313.3 0.897191 0.80106 0.844545 1.61646 0.852253
313.4 0.895086 0.776375 0.851847 1.6146 0.868391
313.5 0.89075 0.752641 0.857645 1.61052 0.892767
313.6 0.884579 0.731003 0.861795 1.60465 0.925014
313.7 0.877053 0.712473 0.864209 1.59746 0.963869
313.8 0.868701 0.697867 0.864857 1.58944 1.00727
313.9 0.860075 0.687759 0.863767 1.58103 1.05255
314 0.851707 0.682443 0.861018 1.57266 1.09667
314.1 0.844081 0.681925 0.856741 1.56464 1.13653
314.2 0.837607 0.685919 0.851114 1.55725 1.16928
314.3 0.832602 0.693879 0.844356 1.55063 1.19261
314.4 0.829277 0.705032 0.83672 1.54487 1.20499
314.5 0.827728 0.718438 0.828489 1.53997 1.20588
314.6 0.82794 0.733055 0.819966 1.53587 1.19578
314.7 0.829793 0.747809 0.811465 1.53247 1.17627
314.8 0.833077 0.761669 0.803303 1.52967 1.14987
314.9 0.837506 0.773713 0.795786 1.52734 1.11985
315 0.84274 0.783187 0.789197 1.52541 1.08996
315.1 0.848407 0.789551 0.783787 1.52381 1.06409
315.2 0.854125 0.792507 0.779759 1.5225 1.04591
315.3 0.859523 0.792013 0.777255 1.52151 1.03856
315.4 0.864264 0.788276 0.776353 1.52086 1.04437
315.5 0.868064 0.781727 0.777052 1.52061 1.06458
315.6 0.870703 0.772986 0.779273 1.52082 1.09927
315.7 0.872041 0.762812 0.782856 1.52156 1.14729
315.8 0.872024 0.752045 0.787564 1.52283 1.20637
315.9 0.870687 0.741542 0.793092 1.52464 1.2733
316 0.868152 0.732121 0.79908 1.52694 1.34416
316.1 0.864623 0.724503 0.80513 1.52961 1.41467
316.2 0.86037 0.719264 0.810823 1.53251 1.48053
316.3 0.855718 0.7168 0.815746 1.53543 1.53774
316.4 0.851025 0.7173 0.81951 1.53815 1.58295
316.5 0.846657 0.720744 0.821775 1.54039 1.61366
316.6 0.842964 0.726899 0.82227 1.5419 1.62842
316.7 0.840257 0.735346 0.820811 1.54242 1.62687
316.8 0.838777 0.745504 0.817312 1.54172 1.60973
316.9 0.838682 0.756677 0.811794 1.53963 1.57869
317 0.840021 0.768094 0.804387 1.53601 1.53617
317.1 0.842725 0.778967 0.795324 1.53081 1.48515
317.2 0.846603 0.788535 0.784931 1.52404 1.42881
317.3 0.851346 0.796121 0.773612 1.51578 1.37034
317.4 0.856534 0.801166 0.761824 1.50618 1.31261
317.5 0.86166 0.803272 0.750062 1.49546 1.25808
317.6 0.866153 0.80222 0.738823 1.4839 1.20855
317.7 0.869415 0.797986 0.728588 1.4718 1.1652
